work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,job_type,company_location,company_size
2020,Entry,Full-time,Data Scientist,105000,USD,105000,United States,remote,United States,Small
2020,Senior,Full-time,Data Scientist,80000,EUR,91237,Austria,onsite,Austria,Small
2020,Mid,Full-time,Data Scientist,55000,EUR,62726,France,hybrid,Luxembourg,Small
2020,Mid,Full-time,Data Scientist,37000,EUR,42197,France,hybrid,France,Small
2021,Entry,Full-time,Research Scientist,60000,GBP,82528,United Kingdom,hybrid,United Kingdom,Large
2021,Executive,Full-time,BI Data Analyst,150000,USD,150000,India,remote,United States,Large
2021,Executive,Full-time,Head of Data,235000,USD,235000,United States,remote,United States,Large
2021,Senior,Full-time,Data Scientist,45000,EUR,53192,France,hybrid,France,Large
2021,Mid,Full-time,BI Data Analyst,100000,USD,100000,United States,remote,United States,Medium
2021,Mid,Part-time,3D Computer Vision Researcher,400000,INR,5409,India,hybrid,India,Medium
2021,Mid,Contract,ML Engineer,270000,USD,270000,United States,remote,United States,Large
2021,Entry,Full-time,Data Analyst,80000,USD,80000,United States,remote,United States,Medium
2021,Senior,Full-time,Data Analytics Engineer,67000,EUR,79197,Germany,remote,Germany,Large
2021,Mid,Full-time,Data Engineer,140000,USD,140000,United States,remote,United States,Large
2021,Mid,Full-time,Applied Data Scientist,68000,CAD,54238,United Kingdom,hybrid,Canada,Large
2021,Mid,Full-time,Machine Learning Engineer,40000,EUR,47282,Spain,remote,Spain,Small
2021,Executive,Full-time,Director of Data Science,130000,EUR,153667,Italy,remote,Poland,Large
2021,Mid,Full-time,Data Engineer,110000,PLN,28476,Poland,remote,Poland,Large
2021,Entry,Full-time,Data Analyst,50000,EUR,59102,France,hybrid,France,Medium
2021,Mid,Full-time,Data Analytics Engineer,110000,USD,110000,United States,remote,United States,Large
2021,Senior,Full-time,Lead Data Analyst,170000,USD,170000,United States,remote,United States,Large
2021,Senior,Full-time,Data Analyst,80000,USD,80000,Bulgaria,remote,United States,Small
2021,Senior,Full-time,Marketing Data Analyst,75000,EUR,88654,Greece,remote,Denmark,Large
2021,Entry,Full-time,Data Science Consultant,65000,EUR,76833,Germany,remote,Germany,Small
2021,Mid,Full-time,Lead Data Analyst,1450000,INR,19609,India,remote,India,Large
2021,Senior,Full-time,Lead Data Engineer,276000,USD,276000,United States,onsite,United States,Large
2021,Entry,Full-time,Data Scientist,2200000,INR,29751,India,hybrid,India,Large
2021,Mid,Full-time,Cloud Data Engineer,120000,SGD,89294,Singapore,hybrid,Singapore,Large
2021,Entry,Part-time,AI Scientist,12000,USD,12000,Brazil,remote,United States,Small
2021,Mid,Full-time,Financial Data Analyst,450000,USD,450000,United States,remote,United States,Large
2021,Entry,Full-time,Computer Vision Software Engineer,70000,USD,70000,United States,remote,United States,Medium
2021,Mid,Full-time,Computer Vision Software Engineer,81000,EUR,95746,Germany,remote,United States,Small
2021,Mid,Full-time,Data Analyst,75000,USD,75000,United States,onsite,United States,Large
2021,Senior,Full-time,Data Engineer,150000,USD,150000,United States,remote,United States,Large
2021,Mid,Full-time,BI Data Analyst,11000000,HUF,36259,Hungary,hybrid,United States,Large
2021,Mid,Full-time,Data Analyst,62000,USD,62000,United States,onsite,United States,Large
2021,Mid,Full-time,Data Scientist,73000,USD,73000,United States,onsite,United States,Large
2021,Mid,Full-time,Data Analyst,37456,GBP,51519,United Kingdom,hybrid,United Kingdom,Large
2021,Mid,Full-time,Research Scientist,235000,CAD,187442,Canada,remote,Canada,Large
2021,Senior,Full-time,Data Engineer,115000,USD,115000,United States,remote,United States,Small
2021,Senior,Full-time,Data Engineer,150000,USD,150000,United States,remote,United States,Medium
2021,Entry,Full-time,Data Engineer,2250000,INR,30428,India,remote,India,Large
2021,Senior,Full-time,Machine Learning Engineer,80000,EUR,94564,Germany,hybrid,Germany,Large
2021,Senior,Full-time,Director of Data Engineering,82500,GBP,113476,United Kingdom,remote,United Kingdom,Medium
2021,Senior,Full-time,Lead Data Engineer,75000,GBP,103160,United Kingdom,remote,United Kingdom,Small
2021,Entry,Part-time,AI Scientist,12000,USD,12000,Pakistan,remote,United States,Medium
2021,Mid,Full-time,Data Engineer,38400,EUR,45391,Netherlands,remote,Netherlands,Large
2021,Entry,Full-time,Machine Learning Scientist,225000,USD,225000,United States,remote,United States,Large
2021,Mid,Full-time,Data Scientist,50000,USD,50000,Nigeria,remote,Nigeria,Large
2021,Mid,Full-time,Data Science Engineer,34000,EUR,40189,Greece,remote,Greece,Medium
2021,Entry,Full-time,Data Analyst,90000,USD,90000,United States,remote,United States,Small
2021,Mid,Full-time,Data Engineer,200000,USD,200000,United States,remote,United States,Large
2021,Mid,Full-time,Big Data Engineer,60000,USD,60000,Spain,hybrid,Romania,Medium
2021,Senior,Full-time,Principal Data Engineer,200000,USD,200000,United States,remote,United States,Medium
2021,Entry,Full-time,Data Analyst,50000,USD,50000,United States,remote,United States,Medium
2021,Entry,Full-time,Applied Data Scientist,80000,GBP,110037,United Kingdom,onsite,United Kingdom,Large
2021,Entry,Part-time,Data Analyst,8760,EUR,10354,Spain,hybrid,Spain,Medium
2021,Mid,Full-time,Principal Data Scientist,151000,USD,151000,United States,remote,United States,Large
2021,Senior,Full-time,Machine Learning Scientist,120000,USD,120000,United States,hybrid,United States,Small
2021,Mid,Full-time,Data Scientist,700000,INR,9466,India,onsite,India,Small
2021,Entry,Full-time,Machine Learning Engineer,20000,USD,20000,India,remote,India,Small
2021,Senior,Full-time,Lead Data Scientist,3000000,INR,40570,India,hybrid,India,Large
2021,Entry,Full-time,Machine Learning Developer,100000,USD,100000,Iraq,hybrid,Iraq,Small
2021,Entry,Full-time,Data Scientist,42000,EUR,49646,France,hybrid,France,Medium
2021,Mid,Full-time,Applied Machine Learning Scientist,38400,USD,38400,Vietnam,remote,United States,Medium
2021,Senior,Full-time,Computer Vision Engineer,24000,USD,24000,Brazil,remote,Brazil,Medium
2021,Entry,Full-time,Data Scientist,100000,USD,100000,United States,onsite,United States,Small
2021,Mid,Full-time,Data Analyst,90000,USD,90000,United States,remote,United States,Medium
2021,Mid,Full-time,ML Engineer,7000000,JPY,63711,Japan,hybrid,Japan,Small
2021,Mid,Full-time,ML Engineer,8500000,JPY,77364,Japan,hybrid,Japan,Small
2021,Senior,Full-time,Principal Data Scientist,220000,USD,220000,United States,onsite,United States,Large
2021,Entry,Full-time,Data Scientist,80000,USD,80000,United States,remote,United States,Medium
2021,Mid,Full-time,Data Analyst,135000,USD,135000,United States,remote,United States,Large
2021,Senior,Full-time,Data Science Manager,240000,USD,240000,United States,onsite,United States,Large
2021,Senior,Full-time,Data Engineering Manager,150000,USD,150000,United States,onsite,United States,Large
2021,Mid,Full-time,Data Scientist,82500,USD,82500,United States,remote,United States,Small
2021,Mid,Full-time,Data Engineer,100000,USD,100000,United States,remote,United States,Large
2021,Senior,Full-time,Machine Learning Engineer,70000,EUR,82744,Belgium,hybrid,Belgium,Medium
2021,Mid,Full-time,Research Scientist,53000,EUR,62649,France,hybrid,France,Medium
2021,Mid,Full-time,Data Engineer,90000,USD,90000,United States,remote,United States,Large
2021,Senior,Full-time,Data Engineering Manager,153000,USD,153000,United States,remote,United States,Large
2021,Senior,Full-time,Cloud Data Engineer,160000,USD,160000,Brazil,remote,United States,Small
2021,Senior,Full-time,Director of Data Science,168000,USD,168000,Japan,onsite,Japan,Small
2021,Mid,Full-time,Data Scientist,150000,USD,150000,United States,remote,United States,Medium
2021,Mid,Full-time,Data Scientist,95000,CAD,75774,Canada,remote,Canada,Large
2021,Entry,Full-time,Data Scientist,13400,USD,13400,Ukraine,remote,Ukraine,Large
2021,Senior,Full-time,Data Science Manager,144000,USD,144000,United States,remote,United States,Large
2021,Senior,Full-time,Data Science Engineer,159500,CAD,127221,Canada,hybrid,Canada,Large
2021,Mid,Full-time,Data Scientist,160000,SGD,119059,Singapore,remote,Israel,Medium
2021,Mid,Full-time,Applied Machine Learning Scientist,423000,USD,423000,United States,hybrid,United States,Large
2021,Senior,Full-time,Data Analytics Manager,120000,USD,120000,United States,remote,United States,Medium
2021,Entry,Full-time,Machine Learning Engineer,125000,USD,125000,United States,remote,United States,Small
2021,Executive,Full-time,Head of Data,230000,USD,230000,Russia,hybrid,Russia,Large
2021,Executive,Full-time,Head of Data Science,85000,USD,85000,Russia,onsite,Russia,Medium
2021,Mid,Full-time,Data Engineer,24000,EUR,28369,Malta,hybrid,Malta,Large
2021,Entry,Full-time,Data Science Consultant,54000,EUR,63831,Germany,hybrid,Germany,Large
2021,Executive,Full-time,Director of Data Science,110000,EUR,130026,Germany,hybrid,Germany,Medium
2021,Senior,Full-time,Data Specialist,165000,USD,165000,United States,remote,United States,Large
2021,Entry,Full-time,Data Engineer,80000,USD,80000,United States,remote,United States,Large
2021,Executive,Full-time,Director of Data Science,250000,USD,250000,United States,onsite,United States,Large
2021,Entry,Full-time,BI Data Analyst,55000,USD,55000,United States,hybrid,United States,Small
2021,Mid,Full-time,Data Architect,150000,USD,150000,United States,remote,United States,Large
2021,Mid,Full-time,Data Architect,170000,USD,170000,United States,remote,United States,Large
2021,Mid,Full-time,Data Engineer,60000,GBP,82528,United Kingdom,remote,United Kingdom,Large
2021,Entry,Full-time,Data Analyst,60000,USD,60000,United States,remote,United States,Small
2021,Senior,Full-time,Principal Data Scientist,235000,USD,235000,United States,remote,United States,Large
2021,Senior,Full-time,Research Scientist,51400,EUR,60757,Portugal,hybrid,Portugal,Large
2021,Senior,Full-time,Data Engineering Manager,174000,USD,174000,United States,remote,United States,Large
2021,Mid,Full-time,Data Scientist,58000,MXN,2859,Mexico,onsite,Mexico,Small
2021,Mid,Full-time,Data Scientist,30400000,CLP,40038,Chile,remote,Chile,Large
2021,Entry,Full-time,Machine Learning Engineer,81000,USD,81000,United States,hybrid,United States,Small
2021,Mid,Full-time,Data Scientist,420000,INR,5679,India,remote,United States,Small
2021,Mid,Full-time,Big Data Engineer,1672000,INR,22611,India,onsite,India,Large
2021,Mid,Full-time,Data Scientist,76760,EUR,90734,Germany,hybrid,Germany,Large
2021,Mid,Full-time,Data Engineer,22000,EUR,26005,Romania,onsite,United States,Large
2021,Senior,Full-time,Finance Data Analyst,45000,GBP,61896,United Kingdom,hybrid,United Kingdom,Large
2021,Mid,Freelance,Machine Learning Scientist,12000,USD,12000,Pakistan,hybrid,Pakistan,Medium
2021,Mid,Full-time,Data Engineer,4000,USD,4000,Iran,remote,Iran,Medium
2021,Senior,Full-time,Data Analytics Engineer,50000,USD,50000,Vietnam,remote,United Kingdom,Medium
2021,Executive,Full-time,Data Science Consultant,59000,EUR,69741,France,remote,Spain,Small
2021,Senior,Full-time,Data Engineer,65000,EUR,76833,Romania,hybrid,United Kingdom,Small
2021,Mid,Full-time,Machine Learning Engineer,74000,USD,74000,Japan,hybrid,Japan,Small
2021,Senior,Full-time,Data Science Manager,152000,USD,152000,United States,remote,France,Large
2021,Entry,Full-time,Machine Learning Engineer,21844,USD,21844,Colombia,hybrid,Colombia,Medium
2021,Mid,Full-time,Big Data Engineer,18000,USD,18000,Moldova,onsite,Moldova,Small
2021,Senior,Full-time,Data Science Manager,174000,USD,174000,United States,remote,United States,Large
2021,Senior,Full-time,Research Scientist,120500,CAD,96113,Canada,hybrid,Canada,Large
2021,Mid,Full-time,Data Scientist,147000,USD,147000,United States,hybrid,United States,Large
2021,Entry,Full-time,BI Data Analyst,9272,USD,9272,Kenya,remote,Kenya,Small
2021,Senior,Full-time,Machine Learning Engineer,1799997,INR,24342,India,remote,India,Large
2021,Senior,Full-time,Data Science Manager,4000000,INR,54094,India,hybrid,United States,Large
2021,Entry,Full-time,Data Science Consultant,90000,USD,90000,United States,remote,United States,Small
2021,Mid,Full-time,Data Scientist,52000,EUR,61467,Germany,hybrid,Austria,Medium
2021,Senior,Full-time,Machine Learning Infrastructure Engineer,195000,USD,195000,United States,remote,United States,Medium
2021,Mid,Full-time,Data Scientist,32000,EUR,37825,Spain,remote,Spain,Large
2021,Senior,Full-time,Research Scientist,50000,USD,50000,France,remote,United States,Small
2021,Mid,Full-time,Data Scientist,160000,USD,160000,United States,remote,United States,Large
2021,Mid,Full-time,Data Scientist,69600,BRL,12901,Brazil,onsite,Brazil,Small
2021,Senior,Full-time,Machine Learning Engineer,200000,USD,200000,United States,remote,United States,Large
2021,Senior,Full-time,Data Engineer,165000,USD,165000,United States,onsite,United States,Medium
2021,Mid,Freelance,Data Engineer,20000,USD,20000,Italy,onsite,United States,Large
2021,Senior,Full-time,Data Analytics Manager,120000,USD,120000,United States,onsite,United States,Large
2021,Mid,Full-time,Machine Learning Engineer,21000,EUR,24823,Slovenia,hybrid,Slovenia,Large
2021,Mid,Full-time,Research Scientist,48000,EUR,56738,France,hybrid,France,Small
2021,Mid,Full-time,Data Engineer,48000,GBP,66022,Hong Kong,hybrid,United Kingdom,Small
2021,Entry,Full-time,Big Data Engineer,435000,INR,5882,India,onsite,Switzerland,Large
2021,Entry,Full-time,Machine Learning Engineer,21000,EUR,24823,Germany,hybrid,Germany,Medium
2021,Senior,Full-time,Principal Data Engineer,185000,USD,185000,United States,remote,United States,Large
2021,Entry,Part-time,Computer Vision Engineer,180000,DKK,28609,Denmark,hybrid,Denmark,Small
2021,Mid,Full-time,Data Scientist,76760,EUR,90734,Germany,hybrid,Germany,Large
2021,Mid,Full-time,Machine Learning Engineer,75000,EUR,88654,Belgium,remote,Belgium,Medium
2021,Senior,Full-time,Data Analytics Manager,140000,USD,140000,United States,remote,United States,Large
2021,Mid,Full-time,Machine Learning Engineer,180000,PLN,46597,Poland,remote,Poland,Large
2021,Mid,Full-time,Data Scientist,85000,GBP,116914,United Kingdom,hybrid,United Kingdom,Large
2021,Mid,Full-time,Data Scientist,2500000,INR,33808,India,onsite,India,Medium
2021,Mid,Full-time,Data Scientist,40900,GBP,56256,United Kingdom,hybrid,United Kingdom,Large
2021,Senior,Full-time,Machine Learning Scientist,225000,USD,225000,United States,remote,Canada,Large
2021,Executive,Contract,Principal Data Scientist,416000,USD,416000,United States,remote,United States,Small
2021,Senior,Full-time,Data Scientist,110000,CAD,87738,Canada,remote,Canada,Small
2021,Mid,Full-time,Data Scientist,75000,EUR,88654,Germany,hybrid,Germany,Large
2021,Senior,Full-time,Data Scientist,135000,USD,135000,United States,onsite,United States,Large
2021,Senior,Full-time,Data Analyst,90000,CAD,71786,Canada,remote,Canada,Medium
2021,Entry,Full-time,Big Data Engineer,1200000,INR,16228,India,remote,India,Large
2021,Senior,Full-time,ML Engineer,256000,USD,256000,United States,remote,United States,Small
2021,Senior,Full-time,Director of Data Engineering,200000,USD,200000,United States,remote,United States,Large
2021,Senior,Full-time,Data Analyst,200000,USD,200000,United States,remote,United States,Large
2021,Mid,Full-time,Data Architect,180000,USD,180000,United States,remote,United States,Large
2021,Mid,Full-time,Head of Data Science,110000,USD,110000,United States,onsite,United States,Small
2021,Mid,Full-time,Research Scientist,80000,CAD,63810,Canada,remote,Canada,Medium
2021,Mid,Full-time,Data Scientist,39600,EUR,46809,Spain,remote,Spain,Medium
2021,Entry,Full-time,Data Scientist,4000,USD,4000,Vietnam,onsite,Vietnam,Medium
2021,Entry,Full-time,Data Engineer,1600000,INR,21637,India,hybrid,India,Medium
2021,Senior,Full-time,Data Scientist,130000,CAD,103691,Canada,remote,Canada,Large
2021,Mid,Full-time,Data Analyst,80000,USD,80000,United States,remote,United States,Large
2021,Mid,Full-time,Data Engineer,110000,USD,110000,United States,remote,United States,Large
2021,Senior,Full-time,Data Scientist,165000,USD,165000,United States,remote,United States,Large
2021,Entry,Full-time,AI Scientist,1335000,INR,18053,India,remote,American Samoa,Small
2021,Mid,Full-time,Data Engineer,52500,GBP,72212,United Kingdom,hybrid,United Kingdom,Large
2021,Entry,Full-time,Data Scientist,31000,EUR,36643,France,hybrid,France,Large
2021,Mid,Full-time,Data Engineer,108000,TRY,12103,Türkiye,onsite,Türkiye,Medium
2021,Senior,Full-time,Data Engineer,70000,GBP,96282,United Kingdom,hybrid,United Kingdom,Large
2021,Senior,Full-time,Principal Data Analyst,170000,USD,170000,United States,remote,United States,Medium
2021,Mid,Full-time,Data Scientist,115000,USD,115000,United States,hybrid,United States,Large
2021,Entry,Full-time,Data Scientist,90000,USD,90000,United States,remote,United States,Small
2021,Executive,Full-time,Principal Data Engineer,600000,USD,600000,United States,remote,United States,Large
2021,Entry,Full-time,Data Scientist,2100000,INR,28399,India,remote,India,Medium
2021,Mid,Full-time,Data Analyst,93000,USD,93000,United States,remote,United States,Large
2021,Senior,Full-time,Big Data Architect,125000,CAD,99703,Canada,hybrid,Canada,Medium
2021,Mid,Full-time,Data Engineer,200000,USD,200000,United States,remote,United States,Large
2021,Senior,Full-time,Principal Data Scientist,147000,EUR,173762,Germany,remote,Germany,Medium
2021,Senior,Full-time,Machine Learning Engineer,185000,USD,185000,United States,hybrid,United States,Large
2021,Executive,Full-time,Director of Data Science,120000,EUR,141846,Germany,onsite,Germany,Large
2021,Mid,Full-time,Data Scientist,130000,USD,130000,United States,hybrid,United States,Large
2021,Senior,Full-time,Data Analyst,54000,EUR,63831,Germany,hybrid,Germany,Large
2021,Mid,Full-time,Data Scientist,1250000,INR,16904,India,remote,India,Small
2021,Senior,Full-time,Machine Learning Engineer,4900000,INR,66265,India,onsite,India,Large
2021,Mid,Full-time,Data Scientist,21600,EUR,25532,Serbia,remote,Germany,Small
2021,Senior,Full-time,Lead Data Engineer,160000,USD,160000,Puerto Rico,hybrid,United States,Small
2021,Mid,Full-time,Data Engineer,93150,USD,93150,United States,onsite,United States,Medium
2021,Mid,Full-time,Data Engineer,111775,USD,111775,United States,onsite,United States,Medium
2021,Mid,Full-time,Data Engineer,250000,TRY,28016,Türkiye,remote,Türkiye,Medium
2021,Entry,Full-time,Data Engineer,55000,EUR,65013,Germany,hybrid,Germany,Medium
2021,Entry,Full-time,Data Engineer,72500,USD,72500,United States,remote,United States,Large
2021,Senior,Full-time,Computer Vision Engineer,102000,BRL,18907,Brazil,onsite,Brazil,Medium
2021,Entry,Full-time,Data Science Consultant,65000,EUR,76833,Germany,onsite,Germany,Large
2021,Entry,Full-time,Machine Learning Engineer,85000,USD,85000,Netherlands,remote,Germany,Small
2021,Senior,Full-time,Data Scientist,65720,EUR,77684,France,hybrid,France,Medium
2021,Entry,Full-time,Data Scientist,100000,USD,100000,United States,remote,United States,Medium
2021,Entry,Full-time,Data Scientist,58000,USD,58000,United States,hybrid,United States,Large
2021,Senior,Full-time,AI Scientist,55000,USD,55000,Spain,remote,Spain,Large
2021,Senior,Full-time,Data Scientist,180000,TRY,20171,Türkiye,hybrid,Türkiye,Large
2021,Entry,Full-time,Business Data Analyst,50000,EUR,59102,Luxembourg,remote,Luxembourg,Large
2021,Mid,Full-time,Data Engineer,112000,USD,112000,United States,remote,United States,Large
2021,Entry,Full-time,Research Scientist,100000,USD,100000,Jersey,onsite,China,Large
2021,Mid,Part-time,Data Engineer,59000,EUR,69741,Netherlands,remote,Netherlands,Large
2021,Senior,Contract,Staff Data Scientist,105000,USD,105000,United States,remote,United States,Medium
2021,Mid,Full-time,Research Scientist,69999,USD,69999,Czechia,hybrid,Czechia,Large
2021,Senior,Full-time,Data Science Manager,7000000,INR,94665,India,hybrid,India,Large
2021,Senior,Full-time,Head of Data,87000,EUR,102839,Slovenia,remote,Slovenia,Large
2021,Mid,Full-time,Data Scientist,109000,USD,109000,United States,hybrid,United States,Large
2021,Mid,Full-time,Machine Learning Engineer,43200,EUR,51064,Italy,hybrid,Italy,Large
2022,Senior,Full-time,Data Engineer,135000,USD,135000,United States,remote,United States,Medium
2022,Senior,Full-time,Data Analyst,155000,USD,155000,United States,remote,United States,Medium
2022,Senior,Full-time,Data Analyst,120600,USD,120600,United States,remote,United States,Medium
2022,Mid,Full-time,Data Scientist,130000,USD,130000,United States,onsite,United States,Medium
2022,Mid,Full-time,Data Scientist,90000,USD,90000,United States,onsite,United States,Medium
2022,Mid,Full-time,Data Engineer,170000,USD,170000,United States,remote,United States,Medium
2022,Mid,Full-time,Data Engineer,150000,USD,150000,United States,remote,United States,Medium
2022,Senior,Full-time,Data Analyst,102100,USD,102100,United States,remote,United States,Medium
2022,Senior,Full-time,Data Analyst,84900,USD,84900,United States,remote,United States,Medium
2022,Senior,Full-time,Data Scientist,136620,USD,136620,United States,remote,United States,Medium
2022,Senior,Full-time,Data Scientist,99360,USD,99360,United States,remote,United States,Medium
2022,Senior,Full-time,Data Scientist,90000,GBP,117789,United Kingdom,onsite,United Kingdom,Medium
2022,Senior,Full-time,Data Scientist,80000,GBP,104702,United Kingdom,onsite,United Kingdom,Medium
2022,Senior,Full-time,Data Scientist,146000,USD,146000,United States,remote,United States,Medium
2022,Senior,Full-time,Data Scientist,123000,USD,123000,United States,remote,United States,Medium
2022,Entry,Full-time,Data Engineer,40000,GBP,52351,United Kingdom,remote,United Kingdom,Medium
2022,Senior,Full-time,Data Analyst,99000,USD,99000,United States,onsite,United States,Medium
2022,Senior,Full-time,Data Analyst,116000,USD,116000,United States,onsite,United States,Medium
2022,Mid,Full-time,Data Analyst,106260,USD,106260,United States,onsite,United States,Medium
2022,Mid,Full-time,Data Analyst,126500,USD,126500,United States,onsite,United States,Medium
2022,Executive,Full-time,Data Engineer,242000,USD,242000,United States,remote,United States,Medium
2022,Executive,Full-time,Data Engineer,200000,USD,200000,United States,remote,United States,Medium
2022,Mid,Full-time,Data Scientist,50000,GBP,65438,United Kingdom,onsite,United Kingdom,Medium
2022,Mid,Full-time,Data Scientist,30000,GBP,39263,United Kingdom,onsite,United Kingdom,Medium
2022,Mid,Full-time,Data Engineer,60000,GBP,78526,United Kingdom,onsite,United Kingdom,Medium
